date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-31 07:26:43,533,4,1,1,2,3,1634
2020-08-31 07:26:58,533,4,1,1,2,3,1634
2020-08-31 07:27:14,533,4,1,1,2,3,1634
2020-08-31 07:27:31,533,4,1,1,2,3,1634
2020-08-31 07:27:43,533,4,1,1,2,3,1634
2020-08-31 07:27:58,533,4,1,1,2,3,1634
2020-08-31 07:28:14,533,4,1,1,2,3,1634
2020-08-31 07:28:28,533,4,1,1,2,3,1634
2020-08-31 07:28:43,533,4,1,1,2,3,1634
2020-08-31 07:28:59,533,4,1,1,2,3,1634
2020-08-31 07:29:13,533,4,1,1,2,3,1634
2020-08-31 07:29:28,533,4,1,1,2,3,1635
2020-08-31 07:29:43,533,4,1,1,2,3,1635
2020-08-31 07:29:58,533,4,1,1,2,3,1635
2020-08-31 07:30:13,535,4,1,1,2,3,1635
2020-08-31 07:30:28,535,4,1,1,2,3,1635
2020-08-31 07:30:43,535,4,1,1,2,3,1635
2020-08-31 07:30:58,535,4,1,1,2,3,1635
2020-08-31 07:31:13,535,4,1,1,2,3,1635
2020-08-31 07:31:28,535,4,1,1,2,3,1635
2020-08-31 07:31:43,535,4,1,1,2,3,1635
2020-08-31 07:31:58,535,4,1,1,2,3,1635
2020-08-31 07:32:13,535,4,1,1,2,3,1635
2020-08-31 07:32:29,535,4,1,1,2,3,1635
2020-08-31 07:32:44,535,4,1,1,2,3,1635
2020-08-31 07:32:59,535,4,1,1,2,3,1635
2020-08-31 07:33:14,535,4,1,1,2,3,1635
2020-08-31 07:33:29,535,4,1,1,2,3,1635
2020-08-31 07:33:44,535,4,1,1,2,3,1635
2020-08-31 07:33:59,535,4,1,1,2,3,1635
2020-08-31 07:34:14,535,4,1,1,2,3,1635
2020-08-31 07:34:29,535,4,1,1,2,3,1635
2020-08-31 07:34:44,535,4,1,1,2,3,1635
2020-08-31 07:34:59,535,4,1,1,2,3,1637
2020-08-31 07:35:14,535,4,1,1,2,3,1637
2020-08-31 07:35:29,535,4,1,1,2,3,1637
2020-08-31 07:35:44,535,4,1,1,2,3,1637
2020-08-31 07:35:59,535,4,1,1,2,3,1637
2020-08-31 07:36:14,535,4,1,1,2,3,1638
2020-08-31 07:36:29,535,4,1,1,2,3,1638
2020-08-31 07:36:44,535,4,1,1,2,3,1638
2020-08-31 07:36:59,535,4,1,1,2,3,1638
2020-08-31 07:37:14,535,4,1,1,2,3,1638
2020-08-31 07:37:29,535,4,1,1,2,3,1638
2020-08-31 07:37:44,535,4,1,1,2,3,1638
2020-08-31 07:37:59,535,4,1,1,2,3,1638
2020-08-31 07:38:14,535,4,1,1,2,3,1638
2020-08-31 07:38:29,535,4,1,1,2,3,1638
2020-08-31 07:38:44,535,4,1,1,2,3,1638
2020-08-31 07:38:59,535,4,1,1,2,3,1638
2020-08-31 07:39:14,535,4,1,1,2,3,1638
2020-08-31 07:39:29,535,4,1,1,2,3,1638
2020-08-31 07:39:44,535,4,1,1,2,3,1638
2020-08-31 07:39:59,535,4,1,1,2,3,1638
2020-08-31 07:40:14,535,4,1,1,2,3,1638
2020-08-31 07:40:29,535,4,1,1,2,3,1638
2020-08-31 07:40:44,535,4,1,1,2,3,1638
2020-08-31 07:40:59,535,4,1,1,2,3,1638
2020-08-31 07:41:14,535,4,1,1,2,3,1638
2020-08-31 07:41:29,535,4,1,1,2,3,1638
2020-08-31 07:41:44,535,4,1,1,2,3,1638
2020-08-31 07:41:59,535,4,1,1,2,3,1638
2020-08-31 07:42:14,535,4,1,1,2,3,1638
2020-08-31 07:42:29,535,4,1,1,2,3,1638
2020-08-31 07:42:44,535,4,1,1,2,3,1638
2020-08-31 07:42:59,535,4,1,1,2,3,1638
2020-08-31 07:43:14,535,4,1,1,2,3,1638
2020-08-31 07:43:29,535,4,1,1,2,3,1639
2020-08-31 07:43:44,535,4,1,1,2,3,1639
2020-08-31 07:43:59,535,4,1,1,2,3,1639
2020-08-31 07:44:14,535,4,1,1,2,3,1639
2020-08-31 07:44:29,535,4,1,1,2,3,1639
2020-08-31 07:44:44,535,4,1,1,2,3,1639
2020-08-31 07:44:59,535,4,1,1,2,3,1639
2020-08-31 07:45:14,536,4,1,1,2,3,1639
2020-08-31 07:45:29,536,4,1,1,2,3,1639
2020-08-31 07:45:44,536,4,1,1,2,3,1640
2020-08-31 07:45:59,536,4,1,1,2,3,1640
2020-08-31 07:46:14,536,4,1,1,2,3,1640
2020-08-31 07:46:29,536,4,1,1,2,3,1640
2020-08-31 07:46:44,536,4,1,1,2,3,1640
2020-08-31 07:46:59,536,4,1,1,2,3,1640
